"alp","null","d","n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"0.0","False","1","1000","0.543885274601938","0.134936032098423","0.950128432882863","0.470728362362026","0.218806369536234","0.0285676443172777","0.758122204754108","0.697441087607702","0.0230861869822364","0.210287724508822","0.242286721118165","0.589611288581475","0.563862745082082","0.0536492403581402","0.543965029075196","0.38029134640997","0.911901241336265","0.0794653122017904","0.937457613264765","0.912336835759461","0.583112407784912","0.573541474980886","0.302150130172457","0.939157709721905","0.111655918488564","0.627786345489885","0.29758089129518","0.867493071204137","0.283335670383677","0.936710127483501","0.550247458976183","0.89255865314992","0.144699432118903","0.429488188128127","0.193152367033647","0.664137032048084","0.0537452626391547","0.672066155955319","0.197405796405108","0.673635557742196","0.430595999323931","0.860709879086747","0.50523386233804","0.17434904676803","0.932485210121467","0.454270179190043","0.883913169067908","0.0854220115177689","0.651950871546133","0.851273244177459","0.422321228709158","0.494932042513599","0.52848196975743","0.466099898668146","0.101455786996805","0.492360774555375","0.414753871732845","0.0977348118785696","0.023040385788461","0.790325932478542","0.391946978393398","0.0557142931833774","0.298614225210906","0.192151337871827","0.714194294617096","0.300662054166781","0.521148747847408","0.617715411607284","0.459406678480389","0.209464942828811","0.39015365914181","0.79126388787368","0.618526531436921","0.275577178712119","0.434046965649878","0.369291830487257","0.202665445120321","0.377161445452905","0.344492104272936","0.139941587726763","0.962699764774893","0.695764851665363","0.282950273969927","0.118423663345462","0.85685696576391","0.601785367402092","0.317288177775746","0.625382373780952","0.480621626452551","0.0775966898354586","0.0549411093628642","0.987506824435456","0.00132729850628453","0.432581578269493","0.429540064691786","0.550278836721748","0.611901493413418","0.161666817935919","0.52959533423634","0.670553642656277"
"0.0","False","1","5000","0.233559213323351","0.533010101106871","0.272140644263397","0.199499431805409","0.929356450170304","0.234853898051682","0.589863793318608","0.806713219558357","0.364825867223094","0.528333885247744","0.617031098123382","0.714393603974492","0.924025579191876","0.975276794871691","0.331196747422414","0.113597124834216","0.939271499507992","0.298026093482847","0.657664945090059","0.987835774037831","0.515764402844978","0.894799885974552","0.221261882615854","0.723256426441421","0.459680725900779","0.474742395865248","0.54355829147083","0.486414447263268","0.671596096857951","0.529105699584404","0.900695127844124","0.967121925992429","0.846081248893925","0.590590264559327","0.790888633234431","0.143110963352452","0.287041892224526","0.860945516787983","0.578192161709734","0.920945480151905","0.752349331801807","0.216017432368295","0.982708597729404","0.295152063081437","0.583041579594413","0.319554732199234","0.81081012281978","0.181573425080481","0.448336217420182","0.377960827563714","0.362316581801124","0.130194217419369","0.0123839139663308","0.465227195858523","0.245549780525456","0.546442316385739","0.856654902039986","0.664040534697345","0.379074314305528","0.58261616036906","0.708522746543663","0.462275039271563","0.824594017089732","0.538855040449456","0.809119918191071","0.28093669410532","0.896571408649364","0.223678002756352","0.290785331587215","0.676120520955653","0.50930303080384","0.132651399896262","0.258715893049928","0.884650036368023","0.0458784095319088","0.716837163201153","0.845539877292481","0.725953115271513","0.643359527343511","0.53414527101117","0.922982490492262","0.322218009623171","0.496943009158386","0.564047434493214","0.242704691395447","0.920066669686848","0.698972559831872","0.25977682112637","0.67546989667572","0.0241038133507721","0.87724258059797","0.75916126215547","0.016459485955396","0.246996434284151","0.257921812819205","0.954964762008034","0.618300976304738","0.518603439892316","0.00127835090454886","0.507866609769667"
"0.0","False","1","10000","0.0260544350264232","0.540874461233934","0.183860855594753","0.0383095341807643","0.376402137966551","0.950185867606869","0.161369104823099","0.84972400475075","0.872753091423728","0.197885778789072","0.936312009399393","0.76375638745256","0.368881516173959","0.872146244846138","0.0270617896525765","0.252206594865949","0.634642655183364","0.48324242752749","0.680228875607603","0.988016140307097","0.219916706158295","0.156196516563752","0.912879224443508","0.439013844022082","0.726110037259436","0.950884867875662","0.361532476492628","0.774171661153233","0.998584739121339","0.427380229832218","0.861153157834483","0.680377943258773","0.682271056941942","0.0996990796485035","0.738382166494596","0.106764769108828","0.837889377991362","0.73840499518618","0.413922588787898","0.465033517781424","0.570168643231539","0.0702372407154478","0.785428276111538","0.477248143407538","0.989270539996183","0.485490863397041","0.715838025406618","0.601617618898493","0.294083295787183","0.89702631423451","0.949019368036328","0.0127442856730299","0.0220175974867683","0.611478940469003","0.201097116803949","0.878988400459534","0.969303429824069","0.904195389074795","0.98079918931406","0.867033707901048","0.875259916275218","0.980381458308682","0.592699570872565","0.779534007870846","0.140133179731542","0.190258827832637","0.854004371572634","0.763676126334437","0.743741079050806","0.534807144085832","0.948826968135597","0.34750041224654","0.264526660257225","0.548762016895656","0.0400513164620591","0.953574400795196","0.897200018285949","0.0893512328900991","0.86294819359414","0.538632268787104","0.711292464003889","0.763166893392948","0.476948114119001","0.704189989203232","0.958480426936711","0.165766565734023","0.46245403155331","0.899062716571996","0.955939579464603","0.881782942882422","0.668872392253194","0.91223067303087","0.0525537697085799","0.432287341510625","0.323252138431589","0.40801179406087","0.805091519509366","0.815130228858481","0.180685953987572","0.948661726393399"
"0.005","False","1","1000","0.299941855200314","0.0552868819372346","0.73473990030913","0.761926640281959","0.0984119575809274","0.0100168551814725","0.927531925932828","0.964180698086095","0.00703531310589052","0.0943438415633642","0.110251578000122","0.345110484965869","0.314457382148502","0.132724619179235","0.314827011116106","0.675054621087371","0.578522276986338","0.0319082423034418","0.747062190185521","0.597153481388287","0.878439655355452","0.888710747886778","0.543595907471857","0.624834718892212","0.0460452288958717","0.382570366547895","0.545408861817117","0.558841494207603","0.137323824788301","0.748296779875612","0.847323192621231","0.780122366251163","0.0562023994708948","0.226866615427998","0.387221736679286","0.389307100098669","0.124166155778526","0.398764024612204","0.36566394859588","0.996391445316653","0.706419301619253","0.800181568925752","0.798399956714653","0.35126552925053","0.611395929144908","0.740854852404228","0.790755121899742","0.0313255370640881","0.400886056334196","0.817944822811317","0.705210302658295","0.263899964386796","0.847644124513364","0.75980278696968","0.0426837663195501","0.809241545046866","0.669070760810887","0.234014774324002","0.00682535601921425","0.880258702599821","0.192970936849129","0.145297463448861","0.555478556226479","0.383343053126518","0.414353930568907","0.150546311598594","0.315665333771795","0.366802174799033","0.719962173591365","0.0925060431461116","0.197482182384061","0.508960795818642","0.378485993344784","0.125137627861814","0.236471857067293","0.197274639429951","0.392141092330945","0.638189215719816","0.178174463170718","0.0523617154637707","0.723023142318876","0.418959474833205","0.133613401453555","0.04661164483343","0.824835570658465","0.944521930461806","0.599966235695926","0.976958649186074","0.755808059694532","0.0290198715900811","0.138235205469378","0.695816430974954","0.000293644907725756","0.742697215789848","0.721583042106367","0.881195912447778","0.915190730709421","0.342454647732557","0.817521471295666","0.395099999879283"
"0.005","False","1","5000","0.819332571077074","0.743983760144399","0.0378316235512882","0.74507821041247","0.311084895040525","0.0340557745828837","0.144555318890976","0.218910389493348","0.0629971727702085","0.120504728921551","0.151002651191552","0.200907339275419","0.406419114599115","0.349955806126119","0.0527091636649637","0.552696953807572","0.377790431190724","0.0510981270922089","0.176715925259865","0.350015297461314","0.76625368831253","0.414073169176414","0.771706088308987","0.1985563099274","0.0889090837041183","0.824863332889692","0.113947220782993","0.103104877910156","0.169633597342773","0.121922220341202","0.286277995286869","0.337076266540261","0.240646395365679","0.684997253630535","0.503298470295106","0.584422135817354","0.893974584741017","0.272724954343908","0.702686590247939","0.296657443923425","0.535669411613106","0.755421567607235","0.371963741891737","0.885006917277863","0.704211260202321","0.0513107574539342","0.249785369850439","0.0227028925915051","0.0937698077239909","0.94491671734629","0.983511489171451","0.0152564537936744","0.12513514809747","0.833523542077482","0.793302673563806","0.720351005654044","0.467351888063115","0.584547219619476","0.064984406542899","0.681174126824753","0.186262247762321","0.833264304626645","0.462090977873182","0.116528139078035","0.230319377054937","0.0470280158921781","0.413775849205618","0.0322308680734968","0.880584351208054","0.169863578991311","0.101729141691218","0.576930898118842","0.0388895252422141","0.454130404638147","0.00369875462873513","0.563370913716826","0.474041425172044","0.557039825258107","0.171766147859146","0.739618098778208","0.317426861495271","0.968992908758239","0.80148923136601","0.721173120036859","0.0334496610375867","0.304742713566429","0.578979889997022","0.0385512403736442","0.1835006039239","0.00129223763458738","0.273494804347369","0.220270308566639","0.000904022077272483","0.850174321435297","0.0382316909771348","0.366448593905932","0.66262660690118","0.111744255543636","0.0212208417479464","0.782395399926335"
"0.005","False","1","10000","0.377190998813131","0.478502378584846","0.982950439011346","0.455401243095601","0.0283277197369448","0.174832757937711","0.943113317515833","0.12651536413347","0.13016851922598","0.00997758279862042","0.151362449143751","0.1081783806078","0.0268682206059777","0.136922673479684","0.000389986119900882","0.807271444518116","0.39756538830026","0.0447436714884017","0.0883758411970869","0.191389458517883","0.909822797266242","0.929214635916831","0.22674957120321","0.036325532638176","0.0910616342605454","0.169257885657542","0.0228736579201595","0.1013415991616","0.184138642621659","0.61490932408925","0.131480883417096","0.0884493088314731","0.0775088720735099","0.753603345128539","0.0970756771484817","0.760619951242267","0.269975183035859","0.0933723200649107","0.035426194519708","0.544910975785989","0.460200797057855","0.610570524342421","0.109251765378016","0.563276847217208","0.184905276165782","0.0421809691932179","0.0980028276849176","0.0639328064718237","0.0181627600703874","0.138612567858754","0.20571930469618","0.000141095047143718","0.346622643352497","0.422427439164247","0.997114591504313","0.226172707450002","0.180217670635496","0.217875589761579","0.182475187973992","0.134195837906005","0.128708030129317","0.187347426296017","0.418384865948815","0.110350558212189","0.899450281659791","0.00825389590577155","0.127154032432415","0.111380061860456","0.322745373561614","0.0524795279607452","0.15629152928181","0.706001124525835","0.0142128595650297","0.492373966314141","0.000796774661196633","0.194815726315925","0.147880479781587","0.00248173130939287","0.140995916754005","0.462174627729084","0.367242951509676","0.289374705158345","0.541705169030448","0.0841787129987696","0.163550064923545","0.00722969513431275","0.0387119730101116","0.224134194909306","0.212222521362613","0.138098745432217","0.0782839120784186","0.232935626037669","0.00110389947655974","0.569447640376212","0.0190610839374048","0.0302910635848227","0.273051814322746","0.262185338081505","0.983875602873514","0.208765561525624"
"0.01","False","1","1000","0.14257389170691","0.0193998106753817","0.459054231628305","0.907858798132547","0.0379895850751445","0.0030783936540094","0.624371898832812","0.632630451913688","0.00182470500285424","0.0364164669018416","0.0429418286768384","0.177603321641651","0.151505668939337","0.28163887908876","0.160675706704685","0.969428029104722","0.317389666317817","0.0111948568015002","0.469529711968013","0.34357782542798","0.808273013803093","0.77709793625578","0.854358392879062","0.367223500366261","0.0164681221620353","0.207111578938611","0.866768679458234","0.316194100963809","0.0576299493161292","0.470954399656012","0.831733101061164","0.488486062885808","0.0182589692611251","0.10390648650273","0.668596744846064","0.197841477590899","0.252025853589423","0.20631116482929","0.602873753804986","0.680349420095724","0.972097881743665","0.495581443001325","0.876972581709712","0.613011001168873","0.35186200344984","0.930783821764492","0.498803429897904","0.00975573639113588","0.219103894529404","0.517154869625995","0.963695838396239","0.120721136552287","0.80446796544023","0.906701043735835","0.0157467710925263","0.83823483868619","0.968040821458814","0.468496328565387","0.00170124853841286","0.570735886471206","0.0806498131827549","0.317791538646215","0.888948009330951","0.660206834730768","0.205712622197165","0.0658991407217839","0.172522502280612","0.191758361760392","0.982239182034809","0.034945360954027","0.085865193364545","0.291360047491637","0.206911427007488","0.0482354805229529","0.113052811989096","0.0930697679732888","0.661021531060343","0.954679786811905","0.0806301505684721","0.0162551612815487","0.450045584594622","0.220610310671822","0.0541933447686442","0.0156229863855627","0.533140461334905","0.701758218038263","0.960606293814933","0.666820927765713","0.933838086277087","0.00929064377147253","0.295706126307374","0.425512684890137","5.56434037868852e-05","0.897551043047914","0.939481487659075","0.765144450211517","0.768955790790775","0.61738346148903","0.867255432934267","0.202298522469177"
"0.01","False","1","5000","0.462998257120184","0.201684516620822","0.00225401420184301","0.527296713906447","0.0527992183635379","0.00229035266149269","0.0174030646323363","0.0268737499383444","0.00494497100978092","0.0133713877670352","0.0177556036893086","0.0284568547807876","0.079211285957072","0.0575161947197196","0.00371922339870583","0.69320750900567","0.0657881530938961","0.00424483736165041","0.023979712176038","0.0638712805035968","0.213582315801623","0.0776703729721898","0.520753101975101","0.0267006421868698","0.00772306039862344","0.247321441702915","0.0106718943164775","0.0103944810406804","0.0202535390566768","0.0137904553110311","0.0444998045331755","0.0602586706583226","0.0313853472717096","0.177387001194934","0.108942661214016","0.711149196235827","0.425026277617972","0.0436437976723212","0.187154257335221","0.0469725074393582","0.120215828169016","0.539179987185786","0.0705048852126956","0.448998998950549","0.191165661506037","0.0037113415034321","0.039099263221838","0.00128180387971899","0.00951756505963869","0.308044815383597","0.341186337763395","0.000841803192007704","0.570826520813926","0.250195604687359","0.524406110043076","0.187185942837798","0.102402184159879","0.126581024018373","0.00494490631471819","0.170537043378746","0.0232783905918652","0.247610460382536","0.0907559762828229","0.0115641657257063","0.0310235981689718","0.0038224200308463","0.0776552720051826","0.00216923798415101","0.450363067988762","0.019867931358394","0.00897752126149331","0.697815459528677","0.00270753952638832","0.100520035581266","0.000140324296572436","0.129165298389568","0.103926981945652","0.127340702923803","0.0232488498395662","0.198627628451542","0.0571096735592075","0.361814475216843","0.237407682426739","0.19703706887925","0.00204343124176832","0.050973449800254","0.134787717579543","0.00261304300410251","0.0250359840729438","2.94174591756354e-05","0.0418898888670922","0.0320591656533029","2.25653954927628e-05","0.435914606481315","0.00258046714508851","0.062358726284956","0.170661619558954","0.0112504699030511","0.165550630192071","0.224654757221953"
"0.01","False","1","10000","0.646616859485784","0.0425012867680529","0.17022516775945","0.563118443822862","0.000463963878331744","0.00803400303969744","0.208662067892639","0.00414702850604283","0.0041713471315239","0.00011138601253825","0.00527251823017606","0.00358459889569503","0.0004202033573682","0.00490093166850447","1.04669490669614e-06","0.102667624675057","0.0303553384172738","0.000921311215408918","0.00273386784998153","0.00941637148403444","0.146359068216855","0.215211754200911","0.0114947089680145","0.000643978094881458","0.00245239103771077","0.00719754124731782","0.000275102548844916","0.00280032172454955","0.00788632552300021","0.0718740028096324","0.00447833978250316","0.00273579153847432","0.00179643543824752","0.308518157984533","0.00284334596527262","0.31588858812138","0.0159524626442645","0.00251571804343155","0.000701650841022632","0.0523094587207983","0.040916505740762","0.428575256279127","0.00337268366053168","0.0619218568342449","0.00773237760644242","0.000764615356767334","0.00322041669520116","0.00146218129554254","0.000238621691623081","0.00462238561534948","0.00951834953933292","3.00939976645837e-07","0.683709108772205","0.0346610480570821","0.198798576599474","0.0101080617133997","0.008240771796018","0.00976151139269809","0.00715230898698109","0.00468718676114457","0.00397446271122639","0.00899996624775222","0.0313266628996256","0.00357912646330581","0.221469733819336","7.05609722763457e-05","0.00414812432452273","0.00394608353273001","0.0212153148737598","0.00112201338235513","0.00559543567266083","0.0904682294618672","0.000153344457206047","0.0486317475330734","3.2258093770867e-06","0.00803802967909281","0.00569503700306463","1.35476165740798e-05","0.00559810705810648","0.0370492733557255","0.0298008790650686","0.0155335029423774","0.0535261264392907","0.0021109889278216","0.00627723586037495","6.75344123463931e-05","0.000673108113754239","0.010559068560765","0.0107713332975853","0.00485095598427989","0.0019837397984454","0.0125765084682834","4.53593443403047e-06","0.0544930841563599","0.000215739564985405","0.000454837825973625","0.0147739289043086","0.0133099291451467","0.194417196163143","0.00996477747579243"
"0.02","False","1","1000","0.020119692351363","0.00149006181062974","0.122951536402346","0.340834185074202","0.00354157061043985","0.000196308629268078","0.198753901999763","0.179920621187582","7.58208133496251e-05","0.00342632807136626","0.00403298872582754","0.0313267485640856","0.0221352238725236","0.823594314580563","0.0282083488300725","0.342186638219667","0.0594371519672905","0.000918074615333927","0.12792778356072","0.0745181296519629","0.302322079994216","0.259264301880109","0.50693178872827","0.0844343326284257","0.00136821046399439","0.0416567316530714","0.481301853524594","0.0663079030209394","0.00649940026915234","0.128813767462143","0.307134028785468","0.129478929377254","0.0011133681032363","0.0139688668088174","0.657650428204636","0.0323300859236397","0.718513160743066","0.0356987626592299","0.805024839764105","0.213807367618942","0.391407521145005","0.12462676938902","0.329019525510321","0.729452659383256","0.0750678985829476","0.357347425494995","0.134634103287397","0.00057853923435996","0.0449767774557013","0.138729557642753","0.373109818111881","0.0155958737910319","0.260328823832747","0.336531097417247","0.00144246426340944","0.273630260054743","0.462382522330822","0.840327560771745","6.27528215312884e-05","0.162257210666819","0.00844754653642934","0.932449220388589","0.448062664020069","0.673177772828152","0.0308145626092871","0.0083538282867959","0.0364059456566773","0.0350192561826283","0.432740582061772","0.00308636670955624","0.0101028255714752","0.0648356979393746","0.0434473256057086","0.00418145722748486","0.0172013733324224","0.0136807962641067","0.694224408048512","0.441375947112195","0.0109109786521541","0.000887644859845738","0.119984769807778","0.03988375515234","0.0055872369696556","0.00107642690323907","0.153873762771238","0.198059826724041","0.369646731628016","0.177677490479778","0.385105923898356","0.000594919830533249","0.861573405387797","0.108550473392042","1.26514358215432e-06","0.297134986559896","0.347210654455658","0.232434983939297","0.275395885935606","0.691393664109159","0.336380349171801","0.0338813350810461"
